Metric,Baseline,RAG,Absolute Difference,Relative Change (%)
accuracy,0.8604651162790697,0.8573643410852713,-0.0031007751937984773,-0.36036036036036356
precision,0.826865671641791,0.8444444444444444,0.01757877280265341,2.125952667468914
recall,0.8964401294498382,0.86084142394822,-0.035598705501618144,-3.9711191335740095
f1,0.860248447204969,0.8525641025641025,-0.007684344640866425,-0.8932703878552306
roc_auc,0.9479840884573895,0.9464767298505163,-0.0015073586068731215,-0.1590067412762145
pr_auc,0.9427970301078359,0.9417042233233992,-0.001092806784436684,-0.11591113988889953
